Position,Artist,Song Title,Year,Lyrics
52,Bonnie Tyler,Total Eclipse of the Heart,1983,"Turn around, every now and then
I get a little bit lonely and you're never coming round
Turn around, every now and then
I get a little bit tired of listening to the sound of my tears

Turn around, every now and then
I get a little bit nervous that the best of all the years have gone by
Turn around, every now and then
I get a little bit terrified and then I see the look in your eyes

Turn around, bright eyes
Every now and then I fall apart
Turn around, bright eyes
Every now and then I fall apart

Turnaround, every now and then
I get a little bit restless and I dream of something wild
Turnaround, every now and then
I get a little bit helpless and I'm lying like a child in your arms

Turnaround, every now and then
I get a little bit angry and I know I've got to get out and cry
Turnaround, every now and then
I get a little bit terrified but then I see the look in your eyes

Turnaround bright eyes
Every now and then I fall apart
Turnaround bright eyes
Every now and then I fall apart

And I need you now tonight
And I need you more than ever
And if you only hold me tight
We'll be holding on forever

And we'll only be making it right
'Cause we'll never be wrong

Together we can take it to the end of the line
Your love is like a shadow on me all of the time
I don't know what to do and I'm always in the dark
We're living in a powder keg and giving off sparks

I really need you tonight
Forever's gonna to start tonight
Forever's gonna to start tonight

Once upon a time I was falling in love
Now I'm only falling apart
There's nothing I can do
A total eclipse of the heart

Once upon a time there was light in my life
But now there's only love in the dark
Nothing I can say
A total eclipse of the heart

Turnaround, bright eyes
Turnaround, bright eyes

Turnaround, every now and then
I know you'll never be the boy you always wanted to be
Turnaround, every now and then
I know you'll always be the only boy who wanted me the way that I am

Turnaround, every now and then
I know there's no one in the universe as magical and wondrous as you
Turnaround, every now and then
I know there's nothing any better, there's nothing that I just wouldn't do

Turnaround bright eyes
Every now and then I fall apart
Turnaround bright eyes
Every now and then I fall apart

And I need you now tonight
And I need you more than ever
And if you'll only hold me tight
We'll be holding on forever

And we'll only be making it right
'Cause we'll never be wrong

Together we can take it to the end of the line
Your love is like a shadow on me all of the time
I don't know what to do, I'm always in the dark
We're living in a powder keg and giving off sparks

I really need you tonight
Forever's gonna start tonight
Forever's gonna start tonight

Once upon a time I was falling in love
Now I'm only falling apart
There's nothing I can do
A total eclipse of the heart

Once upon a time there was light in my life
But now there's only love in the dark
Nothing I can say
A total eclipse of the heart

A total eclipse of the heart
A total eclipse of the heart
Turn around, bright eyes
Turn around, bright eyes

Turn around"
53,Wham!,Wake Me Up Before You Go Go,1984,"You put the boom-boom into my heart
You send my soul sky-high when your lovin' starts
Jitterbug into my brain
Goes bang-bang-bang till my feet do the same

But something's bugging me
Something ain't right
My best friend told me
What you did last night
You left me sleeping in my bed
I was dreaming
but I should've been with you instead.

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not planning on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high, yeah yeah

You get the gray skies outta my way
You make the sun shine brighter than Doris Day
You turned a bright spark into a flame
My beats per minute never been the same

'Cause you're my lady
I'm your fool
It makes me crazy
When you act so cruel
Come on baby
Let's not fight
We'll go dancing
Everything will be alright

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not planning on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high, yeah yeah yeah, baby

(Jitterbug)
(Jitterbug)

Cuddle up baby
Move in tight
We'll go dancing tomorrow night
It's cold out there
But it's warm in bed
They can dance
We'll stay home instead

(Jitterbug)

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not planning on going solo
Wake me up before you go-go
Take me dancing tonight

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
(Don't you dare to leave me hanging on like a yo-yo-yo-yo)
Wake me up before you go-go
I don't wanna miss it when you hit that high (take me dancing)
Wake me up before you go-go (a boom-boom-boom-boom)
'Cause I'm not planning on going solo (a boom-boom-boom-boom)
Wake me up before you go-go
Take me dancing tonight"
54,Bill Medley & Jennifer Warnes,(I've Had) the Time of My Life,1987,"Now I've had the time of my life
No I never felt like this before
If I swear it's the truth
And I owe it all to you
'Cause I've had the time of my life
And I owe it all to you

I've been waiting for so long
Now I've finally found someone
To stand by me
We saw the writing on the wall
As we felt this magical
Fantasy

Now with passion in our eyes
There's no way we could disguise it
Secretly
So we take each other's hand
'Cause we seem to understand
The urgency just remember

You're the one thing
I can't get enough of
So I'll tell you something
This could be love because

I've had the time of my life
No I never felt this way before
Yes I swear it's the truth
And I owe it all to you

With my body and soul
I want you more than you'll ever know
So we'll just let it go
Don't be afraid to lose control, no
Yes I know what's on your mind
When you say ""Stay with me
Tonight."" Just remember

You're the one thing
I can't get enough of
So I'll tell you something
This could be love because

'Cause I had the time of my life
And I've searched through every open door
Till I've found the truth
And I owe it all to you"
55,Men At Work,Down Under,1982,"Traveling in a fried-out Kombi
On a hippie trail, head full of zombie
I met a strange lady, she made me nervous
She took me in and gave me breakfast
And she said

""Do you come from a land down under?
Where women glow and men plunder?
Can't you hear, can't you hear the thunder?
You better run, you better take cover""

Buying bread from a man in Brussels
He was six foot four and full of muscles
I said, ""Do you speak-a my language?""
He just smiled and gave me a Vegemite sandwich
And he said

""I come from a land down under
Where beer does flow and men sunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover""

Lying in a den in Bombay
With a slack jaw and not much to say
I said to the man, ""Are you trying to tempt me
Because I come from the land of plenty?""
And he said

""Oh! do you come from a land down under?
Where women glow and men plunder?
Can't you hear, can't you hear the thunder?
You better run, you better take cover""

Living in a land down under
Where women glow and men plunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover

Living in a land down under
Where women glow and men plunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover

Living in a land down under
Where women glow and men plunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover

Living in a land down under
Where women glow and men plunder
Can't you hear, can't you hear the thunder?
You better run, you better take cover"
56,Lionel Richie,All Night Long (All Night),1983,"Well, my friends, the time has come
Raise the roof and have some fun
Throw away the work to be done
Let the music play on

Everybody sing, everybody dance
Lose yourself in wild romance
We're going to party karamu, fiesta, forever
Come on and sing along
We're going to party karamu, fiesta, forever
Come on and sing along

All night long, all night, all night long, all night
All night long, all night, all night long, oh yeah

People dancing all in the street
See the rhythm all in their feet
Life is good, wild and sweet
Let the music play on

Feel it in your heart and feel it in your soul
Let the music take control
We're going to party liming, fiesta, forever
Come on and sing along
We're going to party liming, fiesta, forever
Come on and sing my song

All night long, all night long, yeah
All night long, yeah, all night long

Yeah, once you get started you can't sit down
Come join the fun, it's a merry go round
Everyone's dancing their troubles away
Come join our party see how we play

[Foreign Content]

Oh Yeah, we're gonna have a party
All night long, all night, all night long, yeah
All night long, all night, all night long

We're going to party karamu, fiesta, forever
Come on and sing along
Going to party karamu, fiesta, forever
Come on and sing my song

All night long, all night, all night long, all night
All night long, all night, all night long, oh

All night, all night, all night, all night
All night, all night, all night, all night

Everyone you meet they're jamming in the street
All night long, yeah
I said, everyone you meet they're jamming in the street
All night long, be good, feel good

All night, all night, all night
All night, all night, all night
All night, all night, all night
..."
57,UB40,Red Red Wine,1983,"Red, red wine
Goes to my head
Makes me forget that I

Still need her so
Red, red wine

It's up to you

All I can do I've done
Memories won't go
Memories won't go

I'd have sworn

That with time

Thoughts of you

Would leave my head
I was wrong
Now I find

Just one thing makes me forget
Red, red wine

Stay close to me

Don't let me be alone

It's tearin' apart
My blue, blue heart
I'd have sworn
That with time
Thoughts of you
Would leave my head
I was wrong
Now I find
Just one thing makes me forget
Red, red wine
Stay close to me
Don't let me be alone
It's tearin' apart
My blue, blue heart
(Rap / (Background Lyrics):)
Red red wine, you make me feel so fine
You keep me rockin' all of the time
Red red wine, you make me feel so grand
I feel a million dollar when you're just in my hand
Red red wine, you make me feel so sad
Any time I see you go, it make me feel bad
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line (Dep International Studios, where UB40 recorded)
(Red red wine...)
Red red wine, you give me whole heap of zing
whole heap of zing, you make me do my own thing
(It's up to you...)
Red red wine, you really know how fi love
Your kind of lovin' like a blessing from above
Red red wine, I loved you right from the start
Right from the start, with all of my heart
Red red wine in an eighties style
Red red wine in a modern beat style
Yeah
(I'd have sworn...)
Give me a little time, help me clear up my mind
(That with time...)
Give me a little time, help me clear up my mind
(Thoughts of you would leave my head...)
Give me red wine, the kind make me feel fine
You make me feel fine all of the time
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
The line broke, the monkey get choked
burn bad ganja pon his little rowing boat
(Red red wine...)
Red red wine, I'm gonna hold on to you
Hold on to you 'cause I know your love true
(Stay close to me...)
Red red wine, I'm gonna love you till I die
Love you till I die, and that's no lie
(Don't let me be alone...)
Red red wine, can't get you off my mind
Wherever you may be
(It's tearin' apart...)
I'll surely find
I'll surely find. Make no fuss
(my blue, blue heart...)
Just stick with us
(I'd have sworn...)
Give me a little time, help me clear up my mind
(That with time...)
Give me a little time, help me clear up my mind
(Thoughts of you would leave my head...)
Give me red wine, the kind make me feel fine
You make me feel fine all of the time
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
The line broke, the monkey get choked
burn bad ganja pon his little rowing boat
(Red red wine...)
Red red wine, you really know how fi love
Your kind of lovin' like a blessing from above
(Stay close to me...)
Red red wine, I loved you right from the start
Right from the start, with all of my heart
(Don't let me be alone...)
Red red wine, you give me whole heap of zing
whole heap of zing, you make me do my own thing
Red red wine in an eighties style
Red red wine in a modern beat style
Yeah
Red red wine, you make me feel so fine
You keep me rockin' all of the time
(Red red wine...)
Red red wine, you make me feel so grand
I feel a million dollar when you're just in my hand
(Stay close to me...)
Red red wine, you make me feel so sad
Any time I see you go, it make me feel bad
(Don't let me be alone...)
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
(fade to end)"
58,Soft Cell,Tainted Love,1981,"Soft Cell
Miscellaneous
Tainted Love
Sometimes I feel I've got to. . . run away,
I've got to. . . get away
>From the pain you drive into the heart of me.
The love we share seems to go nowhere,
And I've lost my life,
For I toss and turn; I can't sleep at night.

Chorus:
Once I ran to you, now I run from you.
This tainted love you've given,
I gave you all a boy could give you.
Take my tears and that's not really all. . .
Tainted love, ohh, tainted love

Now I know I've got to. . . run away,
I've got to. . . get away.
You don't really want any more from me.
To make things right you need someone to  hold you tight,
And you think love is to pray,
But I'm sorry I don't pray that way.

Chorus

Don't touch me please, I cannot stand the way you tease.
I love you though you hurt me so.
Now I'm gonna pack my things and go.

Ohh, tainted love (repeat)

Touch me baby, tainted love (repeat & fade out)"
59,Dexys Midnight Runners,Come On Eileen,1982,"Come on Eileen
Come on Eileen

Poor old Johnny Ray
Sounded sad upon the radio
Moved a million hearts in mono
Our mothers cried
Sang along, who'd blame them

You're grown, so grown
Now I must say more than ever, come on Eileen
Toora loora toora loo rye ay
And we can sing just like our fathers

Come on Eileen, oh I swear what he means
At this moment, you mean everything
With you in that dress my thoughts I confess
Verge on dirty, ah come on Eileen
Come on Eileen

These people round here
Wear beaten down eyes sunk in smoke dried faces
So resigned to what their fate is
But not us, no never, no not us, no never
We are far too young and clever

Remember
Toora loora toora loo rye ay
Eileen, I'll hum this tune forever

Come on Eileen, oh I swear what he means
Ah come on let's, take off everything
Pretty red dress, Eileen tell him yes
Ah come on let's, ah come on Eileen

That pretty red dress, Eileen tell him yes
Ah come on let's, ah come on Eileen, please

Come on Eileen, too loo rye ay
Come on Eileen, too loo rye ay
(Now you have grown, now you have shown)
Toora toora, too loora
(Oh Eileen)

(Said come on)
Come on Eileen, too loo rye ay
(These things that are real so, how you feel)
Come on Eileen, too loo rye ay
(Now I must say more than ever)
Toora toora, too loora
(Things round here change)
(I said toora loora)
Come on Eileen, too loo rye ay
(Toora loo rye ay)
Come on Eileen, too loo rye ay
Toora toora, too loora
Come on Eileen, oh I swear what he means
At this moment, you mean everything
With you in that dress my thoughts I confess
Verge on dirty, ah come on Eileen
Come on Eileen, oh I swear what he means
At this moment, you mean everything
In that dress oh my thoughts I confess
Well they're dirty, on Eileen
Come on Eileen, whoa what he means
Oh, ah come on, everything"
60,U2,I Still Haven't Found What I'm Looking For,1987,"I have climbed highest mountains
I have run through the fields
Only to be with you
Only to be with you
I have run
I have crawled
I have scaled these city walls
These city walls
Only to be with you

But I still haven't found what I'm looking for
But I still haven't found what I'm looking for

I have kissed honey lips
Felt the healing in her fingertips
Burning like a fire
This burning desire

I have spoke with the tongue of angels
I have held the hand of a devil
It was warm in the night
I was cold as a stone

But I still haven't found what I'm looking for
But I still haven't found what I'm looking for

...
I believe in the kingdom come
Then all the colors will bleed into one
Bleed into one

But yes I'm still running
You broke the bonds
And you loosed the chains
Carried the cross
Of my shame
Oh my shame
You know I believe it
But I still haven't found what I'm looking for
But I still haven't found what I'm looking for
But I still haven't found what I'm looking for
But I still haven't found what I'm looking for...
..."
61,Paul McCartney & Michael Jackson,Say Say Say,1983,"Say, say, say what you want
But don't play games with my affection
Take, take, take what you need
But don't leave me with no direction

All alone, I sit home by the phone
Waiting for you, baby
Through the years
How can you stand to hear
My pleading for you dear?
You know I'm crying ooh ooh ooh ooh

Go, go, go where you want
But don't leave me here forever
You, you, you stay away
So long girl, I see you never

What can I do
Girl to get through to you?
Cause I love you, baby
Standing here, baptisted in all my tears
Baby through the years
You know I'm crying ooh ooh ooh ooh

You never ever worry
And you never shed a tear
You saying that my love ain't real
Just look at my face
These tears ain't drying

You, you, you can never say
That I'm not the one who really loves you
I pray, pray, pray every day
That you'll see things, girl like I do

What can I do girl, to get through to you?
Cause I love you baby
Standing here baptised in all my tears
Baby through the years
You know I'm crying, ooh ooh ooh ooh ooh"
62,John Lennon,Woman,1981,"Woman
I can hardly express
My mixed emotion at my thoughtlessness
After all I'm forever in your debt
And woman I will try to express
My inner feelings and thankfullness
For showing me the meaning of succsess
oooh well, well
oooh well, well
Woman I know you understand
The little child inside the man
Please remember my life is in your hands
And woman hold me close to your heart
However, distant don't keep us apart
After all it is written in the stars
oooh well, well
oooh well, well
Woman please let me explain
I never mean(t) to cause you sorrow or pain
So let me tell you again and again and again
I love you (yeah, yeah) now and forever
I love you (yeah, yeah) now and forever
I love you (yeah, yeah) now and forever
I love you (yeah, yeah)..."
63,Jefferson Starship,Nothing's Gonna Stop Us Now,1987,"Looking in your eyes I see a paradise
This world that I've found is too good to be true
Standing here beside you, want so much to give you
This love in my heart that I'm feeling for you

Let 'em say we're crazy, I don't care about that
Put your hand in my hand baby don't ever look back
Let the world around us just fall apart
Baby we can make it if we're heart to heart

And we can build this thing together
Stand this storm forever
Nothings gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothings gonna stop us,
Nothings gonna stop us now

I'm so glad I found you, I'm not gonna lose you
Whatever it takes I will stay here with you
Take it to the good times, see it through the bad times
Whatever it takes here's what I'm gonna do

Let 'em say we're crazy, what do they know
Put your arms around me baby don't ever let go
Let the world around us just fall apart
Baby we can make it if we're heart to heart

And we can build this thing together
Stand this storm forever
Nothings gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothings gonna stop us,
Nothings gonna stop us now

Oh, all that I need is you
All that I ever need
And all that I want to do
Is hold you forever, and ever and ever

(break)

And we can build this thing together
Stand this storm forever
Nothings gonna stop us now
And if this world runs out of lovers
We'll still have each other
Nothings gonna stop us,
Nothings gonna stop us now"
64,Phil Collins,Against All Odds (Take a Look At Me Now),1984,"How can I just let you walk away,
Just let you leave without a trace?
When I stand here taking every breath with you, ooh ooh
You're the only one who really knew me at all

How can you just walk away from me
When all I can do is watch you leave?
'Cause we've shared the laughter and the pain
And even shared the tears
You're the only one who really knew me at all

So take a look at me now
Well there's just an empty space
And there's nothing left here to remind me
Just the memory of your face
Ooh, Take a look at me now
Well there's just an empty space
And you coming back to me is against the odds
And that's what I've got to face, sponsored links

I wish I could just make you turn around
Turn around and see me cry
There's so much I need to say to you
So many reasons why
You're the only one who really knew me at all

So take a look at me now
Well there's just an empty space
And there's nothing left here to remind me
Just the memory of your face

Now Take a look at me now
'Cause that's just an empty space
But to wait for you is all I can do
And that's what I've got to face

Take a good look at me now
'Cause I'll still be standing here
And you coming back to me is against all odds
It's the chance I've got to take
Take a look at me now"
65,Nena,99 Red Balloons,1983,"You and I in a little toy shop
Buy a bag of balloons
With the money we've got
Set them free at the break of dawn
'Til one by one, they were gone
Back at base, bugs in the software
Flash the message
""Something's out there""
Floating in the summer sky
99 red balloons go by

99 red balloons
Floating in the summer sky
Panic bells, it's red alert
There's something here
From somewhere else
The war machine springs to life
Opens up one eager eye
Focusing it on the sky
Where 99 red balloons go by

99 Decision Street
99 ministers meet
To worry, worry, super-scurry
Call the troops out in a hurry
This is what we've waited for
This is it boys, this is war
The president is on the line
As 99 red balloons go by

99 Knights of the airway
Ride super-high-tech jet fighters
Everyone's a Silverhero
Everyone's a Captain Kirk
With orders to identify
To clarify and classify
Scramble in the summer sky
As 99 red balloons go by

As 99 red balloons go by

99 dreams I have had
In every one a red balloon
It's all over and I'm standin' pretty
In this dust that was a city
If I could find a souvenier
Just to prove the world was here
And here is a red balloon
I think of you and let it go."
66,Queen,Crazy Little Thing Called Love,1980,"Queen
Miscellaneous
Crazy Little Thing Called Love
This thing called love I just can't handle it
this thing called love I must get round to it
I ain't ready
Crazy little thing called love
This (This Thing) called love
(Called Love)
It cries (Like a baby)
In a cradle all night
It swings (Woo Woo)
It jives (Woo Woo)
It shakes all over like a jelly fish,
I kinda like it
Crazy little thing called love

There goes my baby
She knows how to Rock n' roll
She drives me crazy
She gives me hot and cold fever
Then she leaves me in a cool cool sweat

I gotta be cool relax, get hip
Get on my track's
Take a back seat, hitch-hike
And take a long ride on my motor bike
Until I'm ready
Crazy little thing called love

I gotta be cool relax, get hip
Get on my track's
Take a back seat, hitch-hike
And take a long ride on my motor bike
Until I'm ready (Ready Freddie)
Crazy little thing called love

This thing called love I just can't handle it
this thing called love I must get round to it
I ain't ready
Crazy little thing called love
Crazy little thing called love
Crazy little thing called love
Crazy little thing called love
Crazy little thing called love
Crazy little thing called love
Crazy little thing called love
Crazy little thing called love"
67,U2,Desire,1988,"Lover, I'm on the street
Gonna go where the bright lights
And the big city meet
With a red guitar on fire

Desire

She's a candle
Burning in my room
I'm like the needle, needle and spoon

Over the counter with a shotgun
Pretty soon, everybody got one
And the fever when I'm beside her

Desire
Desire

And the fever getting higher
Desire, desire, burning, burning

She's the dollars, she's my protection
Yeah, she's a promise in the year of election
Oh sister, I can't let you go

Like a preacher
Stealing hearts at a traveling show
For love or money, money, money

And the fever getting higher
Desire, desire, desire, desire

Desire
Desire"
68,Madonna,Like a Virgin,1984,"I made it through the wilderness
Somehow I made it through
Didn't know how lost I was
Until I found you

I was beat incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel, shiny and new

Like a virgin
Touched for the very first time
Like a virgin
When your heart beats
Next to mine

Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you
'Cause only love can last

You're so fine and you're mine
Make me strong, yeah, you make me bold
Oh, your love thawed out
Yeah, your love thawed out
What was getting cold

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine

You're so fine and you're mine
I'll be yours 'til the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothing to hide

Like a virgin
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine

Like a virgin, like a virgin
Feels so good inside
When you hug me
And your heartbeats, and you love me"
69,Guns n' Roses,Sweet Child O' Mine,1988,We do not have the lyrics for Sweet Child O' Mine yet.
70,Lionel Richie,Hello,1984,"I've been alone with you
Inside my mind
And in my dreams I've kissed your lips
A thousand times
I sometimes see you
Pass outside my door
Hello!
Is it me you're looking for?
I can see it in your eyes
I can see it in your smile
You're all I've ever wanted
And my arms are open wide
Because you know just what to say
And you know just what to do
And I want to tell you so much
I love you

I long to see the sunlight in your hair
And tell you time and time again
How much I care
Sometimes I feel my heart will overflow
Hello!
I've just got to let you know
Because I wonder where you are
And I wonder what you do
Are you somewhere feeling lonely?
Or is someone loving you?
Tell me how to win your heart
For I haven't got a clue
But let me start by saying I love you

Hello!
Is it me you're looking for?
Becuase I wonder where you are
And I wonder what you do
Are you somewhere feeling lonely?
Or is someone loving you?
Tell me how to win your heart
For I haven't got a clue
But let me start by saying I love you"
71,Bon Jovi,Livin' On a Prayer,1987,"Once upon a time
Not so long ago

Tommy used to work on the docks, union's been on strike
He's down on his luck it's tough, so tough
Gina works the diner all day, working for her man
She brings home her pay for love, for love

She says we've got to hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot
For love we'll give it a shot

Whoa, we're half way there
Whoa, livin' on a prayer
Take my hand and we'll make it I swear
Whoa livin' on a prayer

Tommy's got his six string in hock, now he's holding in what he used
To make it talk so tough, it's tough
Gina dreams of running away, when she cries in the night
Tommy whispers baby it's okay, someday

We've got to hold on to what we've got
It doesn't make a difference if we make it or not
We've got each other and that's a lot
For love we'll give it a shot

Whoa, we're half way there
Whoa, livin' on a prayer
Take my hand and we'll make it I swear
Whoa livin' on a prayer, livin' on a prayer

We've got to hold on ready or not
You live for the fight when that's all that you've got

Whoa, we're half way there
Whoa, livin' on a prayer
Take my hand and we'll make it I swear
Whoa livin' on a prayer

Whoa, we're half way there
Whoa, livin' on a prayer
Take my hand and we'll make it I swear
Whoa livin' on a prayer

Whoa, we're half way there
Whoa, livin' on a prayer
Take my hand and we'll make it I swear"
72,Phil Collins,In the Air Tonight,1981,"I can feel it coming in the air tonight, oh Lord
And I've been waiting for this moment for all my life, oh Lord
Can you feel it comin' in the air tonight? Oh Lord, oh Lord

Well if you told me you were drowning
I would not lend a hand
I've seen your face before my friend
But I don't know if you know who I am

And I was there and I saw what you did
I saw it with my own two eyes
So you can wipe off that grin, I know where you've been
It's all been a pack o' lies

And I can feel it coming in the air tonight, oh Lord
I've been waiting for this moment all my life, oh Lord
I can feel it comin' in the air tonight, oh Lord
And I've been waiting for this moment all my life, oh Lord, oh Lord

Well I remember, I remember, don't worry
How could I ever forget
It's the first time, the last time we ever met
But I know the reason why you keep your silence up

No you don't fool me
The hurt doesn't show
But the pain still grows
Some stranger to you and me

I can feel it coming in the air tonight, oh Lord
Well, I've been waiting for this moment for all my life, oh Lord
I can feel it in the air tonight, oh Lord, oh Lord
But I've been waiting for this moment for all my life, oh Lord

I can feel it coming in the air tonight, oh Lord
And I've been waiting for this moment all my life, oh Lord
I can feel it in the air tonight oh Lord, oh Lord, oh Lord
Well, I've been waiting for this moment all my life, oh Lord, oh Lord

I can feel it in the air tonight, oh Lord,oh Lord, oh
I've been waiting for this moment all my life, oh Lord, oh Lord"
73,Van Halen,Jump,1984,"I get up and nothin' gets me down
You got it tough, well, I've seen the toughest around
And I know, baby, just how you feel
You got to roll with the punches to get to what's real

Ah, can't ya see me standin' here?
I got my ass against the record machine
I ain't the worst that you've seen
Ah, can't ya see what I mean?

I might as well jump, jump
Go ahead an' jump
I said jump
I might as well jump

You don't know
You don't know until you begin

Now can't ya see me standing here?
I got my ass against the record machine
I ain't the worst that you've seen
You don't know what I mean?

I might as well jump, jump
Go ahead and jump
I said jump, jump
Go ahead and jump

Come on babe
Jump on, jump on
Jump on, jump on

Jump on
Jump on
Jump on

Might as well jump, jump
Go ahead and jump, baby
I said jump, jump
Jump on, jump on

Get up and jump
I said jump, jump
I said jump, I said jump
Jump on, jump on
Jump on, jump on
Come on babe, I said jump"
74,Peter Gabriel,Sledgehammer,1986,"You could have a steam train
if you'd just lay down your tracks
you could have an aeroplane flying
if you bring your blue sky back

all you do is call me
I'll be anything you need

you could have a big dipper
going up and down, all around the bends
you could have a bumper car, bumping
this amusement never ends

I want to be your sledgehammer
why don't you call my name
oh let me be your sledgehammer
this will be my testimony
show me round your fruitcage
'cos I will be your honey bee
open up your fruitcage
where the fruit is as sweet as can be

I want to be your sledgehammer
why don't you call my name
you'd better call the sledgehammer
put your mind at rest
I'm going to be-the sledgehammer
this can be my testimony
I'm your sledgehammer
let there be no doubt about it

sledge sledge sledgehammer

I've kicked the habit
shed my skin
this is the new stuff
I go dancing in, we go dancing in
oh won't you show for me
and I will show for you
show for me, I will show for you
yea, yeah, yeah, yeah, yeah, yeah, I do mean you
only you
you've been coming through
going to build that powerr
build, build up that power, hey
I've been feeding the rhythm
I've been feeding the rhythm
going to feel that power, build in you
come on, come on, help me do
yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, you
I've been feeding the rhythm
I've been feeding the rhythm
it's what we're doing, doing
all day and night "
75,Roxette,The Look,1989,"Walking like a man, hitting like a hammer
She's a juvenile scam, never was a quitter
Tasty like a raindrop, she's got the look

Heavenly bound, 'cause heaven's got a number
When she's spinning me around, kissing is a color
Her loving is a wild dog, she's got the look

She's got the look
(She's got the look)
She's got the look
(She's got the look)

What in the world can make
A brown-eyed girl turn blue
When everything I'll ever do, I'll do for you
And I go, la la, la la la, she's got the look

Fire in the ice, naked to the T-bone
Is a lover's disguise, banging on the head drum
Shaking like a mad bull, she's got the look

Swaying to the band, moving like a hammer
She's a miracle man, loving is the ocean
Kissing is the wet sand, she's got the look

She's got the look
(She's got the look)
She's got the look
(She's got the look)

What in the world can make
A brown-eyed girl turn blue
When everything I'll ever do, I'll do for you
And I go, la la, la la la, she's got the look

Walking like a man, hitting like a hammer
She's a juvenile scam, never was a quitter
Tasty like a raindrop, she's got the look

And she goes, na na na
She's got the look

She's got the look
(She's got the look)
She's got the look
(She's got the look)

What in the world can make
A brown-eyed girl turn blue
When everything I'll ever do, I'll do for you
And I go, la la, la la la, she's got the look

What in the world
Can make you so blue
When everything I'll ever do, I'll do for you
And I go, la la, la la la

Na na na
She's got the look
And she goes, na na na
She's got the look
(She's got the look)

And she goes, na na na
She's got the look
(She's got the look)
And she goes, na na na
She's got the look"
76,F R David,Words,1982,"Words don't come easy to me
How can I find a way to make you see I love you?
Words don't come easy

Words don't come easy to me
This is the only way for me to say I love you
Words don't come easy

Well, I'm just a music man
Melodies are for my best friend
But my words are coming out wrong
And I, I reveal my heart to you and
Hope that you believe it's true 'cause

Words don't come easy to me
How can I find a way to make you see I love you?
Words don't come easy

This is just a simple song
That I've made for you and my own
There's no hidden meaning you know when I
When I say I love you, honey
Please believe I really do 'cause

Words don't come easy to me
How can I find a way to make you see I love you?
Words don't come easy

It isn't easy, words don't come easy
Words don't come easy to me
How can I find a way to make you see I love you?
Words don't come easy

Don't come easy to me
This is the only way for me to say I love you
Words don't come easy
Words don't come easy"
77,Irene Cara,Fame,1980,"Baby you look at me and tell me what you see
You ain't seen the best of me yet
Give me time, I'll make you forget the rest
I've got more in me and you can set it free
I can catch the moon in my hand
Don't you know who I am?
Remember my name

(Fame)
I'm gonna live forever
I'm gonna learn how to fly
(High)
I feel it coming together
People will see me and cry

(Fame)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame)
I'm gonna live forever
Baby, remember my name
(Remember, remember, remember, remember)
(Remember, remember, remember, remember)

Baby hold me tight, 'cause you can make it right
You can shoot me straight to the top
Give me love and take all I've got to give
Baby I'll be tough, too much is not enough, no
I'll grab your heart till it breaks
You got what it takes

(Fame)
I'm gonna live forever
I'm gonna learn how to fly
(High)
I feel it coming together
People will see me and cry

(Fame)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame)
I'm gonna live forever
Baby, remember my name
(Remember, remember, remember, remember)
(Remember, remember, remember)

(Fame)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame)
I'm gonna live forever
Baby, remember my name
  (Remember, remember, remember, remember)
  (Remember, remember, remember, remember)
Remember my name

(Fame)
I'm gonna live forever
(Fame)
I'm gonna learn how to fly
(High)
I feel it coming together
(Fame)
People will see me and cry
  (Remember my name)

(Fame)
I'm gonna make it to heaven"
