Position,Artist,Song Title,Year,Lyrics
50,Anita Ward,Ring My Bell,1979,"I'm glad you're home, well, did you really miss me?
I guess you did by the look in your eye
(Look in your eye, look in your eye)
Well, lay back and relax, while I put away the dishes
(Away the dishes)
Then you and me can rock a bell

You can ring my bell, ring my bell
You can ring my bell, ring my bell
You can ring my bell, ring my bell
You can ring my bell, ring my bell

The night is young and full of possibilities
Well, come on and let yourself be free
My love for you, so long I've been savin'
  (Love for you, love for you)
Tonight was made for me and you

You can ring my bell, ring my bell
(Ring my bell, ding-dong-ding, ah)
You can ring my bell, ring my bell
(Ring my bell, ring-a-ling-a-ling)

You can ring my bell, ring my bell
(Ring my bell, ding-dong-ding, ah)
You can ring my bell, ring my bell
(Ring my bell, ring-a-ling-a-ling)

You can ring my bell, you can ring my bell
Ding, dong, ding, ah, ring it
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, ow

You can ring my bell, you can ring my bell
Ding, dong, ding, ah, ring it
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, ow

You can ring my bell, ring my bell
(Ring my bell, ding-dong-ding, ah)
You can ring my bell, ring my bell
(Ring my bell, ring-a-ling-a-ling)

You can ring my bell, ring my bell
(Ring my bell, ding-dong-ding, ah)
You can ring my bell, ring my bell
(Ring my bell, ring-a-ling-a-ling)"
51,Rod Stewart,Do Ya Think I'm Sexy?,1979,"Sugar, sugar

She sits alone waiting for suggestions
He's so nervous, avoiding all the questions
His lips are dry, her heart is gently pounding
Don't you just know exactly what they're thinking

If you want my body and you think I'm sexy
Come on, sugar, let me know
If you really need me, just reach out and touch me
Come on, honey, tell me so, tell me so, baby

He's acting shy, looking for an answer
Come on honey, let's spend the night together
Now hold on a minute before we go much further
Give me a dime so I can phone my mother

They catch a cab to his high rise apartment
At last he can tell her exactly what his heart meant

If you want my body and you think I'm sexy
Come on honey, tell me so
If you really need me, just reach out and touch me
Come on sugar, let me know

His heart's beating like a drum
'Cause at last he's got this girl home
Relax baby, now we are alone

They wake at dawn 'cause all the birds are singin'
Two total strangers but that ain't what they're thinkin'
Outside it's cold, misty and it's rainin'
They got each other, neither one's complainin'

He say's, ""I sorry but I'm out of milk and coffee
Never mind sugar we can watch the early movie""

If you want my body and you think I'm sexy
Come on sugar, let me know
If you really need me, just reach out and touch me
Come on honey, tell me so

Sugar

If you really need me, just reach out and touch me
Come on, sugar, let me know
If you really, really, really, really need me
Just let me know, just reach out and touch me

If you really want me, just reach out and touch me
Come on, sugar, let me know
If you really need me, just reach out and touch me
Come on, sugar, let me know

If you, if you, if you really need me, just come on and tell me so
Just reach out and tell me so"
52,M,Pop Muzik,1979,"Get up, get down
Radio, video, boogie with a suitcase
Your livin' in a disco, forget about the rat race
Let's do the milkshake, sellin' like a hotcake
Try some, buy some fee-fi-fo-fum
Talk about pop musik
Talk about pop musik
Get up, get down
Radio, video, boogie with a suitcase
Your livin' in a disco, forget about the rat race
Let's do the milkshake, sellin' like a hotcake
Try some, buy some fee-fi-fo-fum
Talk about pop musik
Talk about pop musik
Shoobie, doobie, do wop
I wanna dedicate this
Pop, pop, shoo wop
Everybody made it
Shoobie, doobie do wop
Infiltrate it
Pop, pop, shoo wop
Activate it"
53,The Sweet,The Ballroom Blitz,1973,"Are you ready Steve? Uh-huh
Andy? Yeah
Mick? Okay
Alright fellas - let's go!

Oh it's been getting so hard
Living with the things you do to me
My dreams are getting so strange
I'd like to tell you everything I see

Oh, I see a man in the back as a matter of fact
His eyes were as red as the sun
And the girl in the corner that no one ignores
Cause she thinks she's the passionate one

Oh Yeah! It was like lightning
Everybody was frightening
And the music was soothing
And they all started grooving

Yeah, Yeah, Yeah-Yeah-Yeah
And the man in the back said everyone attack
And it turned into a ballroom blitz
And the girl in the corner said boy I want to warn you
It'll turn into a ballroom blitz
Ballroom blitz, ballroom blitz, ballroom blitz, ballroom blitz

Oh reaching out for something
Touching nothing's all I ever do
Oh I softly call you over
When you appear there's nothing left of you

And the man in the back is ready to crack
As he raises his hands to the sky
And the girl in the corner is everyone's mourner
She could kill you with a wink of her eye

Oh Yeah! It was electric
So frantically hectic
And the band started leaving
Cause they all stopped breathing

Oh Yeah! It was like lightning
Everybody was frightening
And the music was soothing
And they all started grooving

It's it's a ballroom blitz
It's it's a ballroom blitz
It's it's a ballroom blitz
Yeah, it's a ballroom blitz"
54,Led Zeppelin,Whole Lotta Love,1970,"You need coolin', baby, I'm not foolin'
I'm gonna send you back to schoolin'
Way down inside honey, you need it
I'm gonna give you my love
I'm gonna give you my love

Wanna whole lotta love?
Wanna whole lotta love?
Wanna whole lotta love?
Wanna whole lotta love?

You've been learnin', baby, I mean learnin'
All them good times, baby, baby, I've been yearnin'
Way, way down inside honey, you need it
I'm gonna give you my love
I'm gonna give you my love

Wanna whole lotta love?
Wanna whole lotta love?
Wanna whole lotta love?
Wanna whole lotta love?

You been foolin', baby, I've been droolin'
All the good times baby I've been miss you as hell
Way, way down inside, I'm gonna give you my love
I'm gonna give you every inch of my love

Gonna give you my love
Yeah, all right, let's go

Wanna whole lotta love?
Wanna whole lotta love?
Wanna whole lotta love?
Wanna whole lotta love?

Way down inside, woman, you need love
Shake for me, girl, I wanna be your back door man
Hey, oh, hey, oh, oh, oh, oh, keep a-coolin', baby
Keep a coolin', baby"
55,Michael Jackson,Don't Stop 'Til You Get Enough,1979,"Lovely Is The Feelin' Now
Fever, Temperatures Risin' Now
Power (Ah Power) Is The Force The Vow
That Makes It Happen It Asks No Questions Why (Ooh)
So Get Closer (Closer Now)
To My Body Now Just Love Me
'Til You Don't Know How (Ooh)
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough

Touch Me And I Feel On Fire
Ain't Nothin' Like A Love Desire (Ooh)
I'm Melting (I'm Melting)
Like Hot Candle Wax Sensation (Ah Sensation)
Lovely Where We're At (Ooh)
So Let Love Take Us Through The Hours
I Won't Be Complanin'
'Cause This Is Love Power (Ooh)
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
(Ooh)

Heartbreak Enemy Despise
Eternal (Ah Eternal)
Love Shines In My Eyes (Ooh)
So Let Love Take Us Through The Hours
I Won't Be Complanin' (No No)
'Cause Your Love Is Alright, Alright

Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Lovely Is The Feeling Now I Won't Be Complanin' (Ooh Ooh)
The Force Is Love Power
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough
Keep On With The Force Don't Stop
Don't Stop 'Til You Get Enough"
56,Hot Butter,Popcorn,1972,Instrumental
57,Captain & Tennille,Love Will Keep Us Together,1975,"Love, love will keep us together
Think of me babe whenever
Some sweet talkin' girl comes along, singin' a song
Don't mess around, you just gotta be strong

Just stop, 'cause I really love you
Stop, I been thinkin' of you
Look in my heart and let love keep us together

You (you, do do do) you belong to me now (do, do do do)
Ain't gonna set ya free now (do do do)
When those girls start hangin' around, talkin' me down
Hear with your heart and ya won't hear a sound

Just stop (stop, stop) cause I really love you (really love you)
Stop (stop, stop) I been thinkin' of you (been thinkin' of you)
Look in my heart and let love keep us together, whatever

Young and beautiful, but someday your looks'll be gone
When the others turn you off, who'll be turnin' you on
I will, I will, I will, I will be there to share forever
Love will keep us together
I said it before and I'll say it again
While others pretend
I need ya now and I need ya then

Just stop (stop) cause I really love you (really love you)
Stop (stop) I been thinkin' of you (been thinkin' of you)
Look in my heart and let love keep us together
Whatever (a-ba-da whatever)
I will (ever), I will (ever), I will (ever), I will (ahh)

(Synthesizer solo) (Da da da da, da da da da, da da da da)

You better stop (stop) cause I really love you (really love you)
Stop (stop) I been thinkin' of you (been thinkin' of you)
Look in my heart and let love keep us together
Whatever (a-ba-da whatever)
I will (ever), I will (ever), I will (ever), I will (ahh)

(Clapping and whistling)

(Da da da da, da da da da, da da da da)
(Sedaka is back!)
(Da da da da, da da da da, da da da da)"
58,Exile,Kiss You All Over,1978,"When I get home, babe
Gonna light your fire
All day
I've been thinkin' about you, babe
You're my one desire
Gonna wrap my arms around you
Hold you close to me
Oh, babe I wanna taste your lips
I wanna fill your fantasy, yeah
I don't what I'd do without you, babe
Don't know where I'd be
You're not just another lover
No, you're everything to me
Ev'rytime I'm with you, baby
I can't believe it's true
When you're layin' in my arms
We do the things you do
You can see it in my eyes
I can feel it in your touch
You don't have to say a thing
Just let me show how much
Love you, need you, yeah
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Stay with me, lay with me
Holding me, loving me, baby
Here with me, near with me
Feeling you close to me, baby
So show me, show me ev'rything you do
'Cause baby no one does it quite like you
Love you, need you,
Oh, babe
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in"
59,The Kinks,Lola,1970,"I met her in a club down in old Soho
Where you drink champagne and it tastes just like Coca-Cola
C-O-L-A, Cola
She walked up to me and she asked me to dance
I asked her her name and in a dark brown voice she said Lola
L-O-L-A, Lola
La-la-la-la Lola

Well, I'm not the world's most physical guy
But when she squeezed me tight she nearly broke my spine, oh my Lola
La-la-la-la Lola
Well, I'm not dumb but I can't understand
Why she walked like a woman but talked like a man, oh my Lola
La-la-la-la Lola
La-la-la-la Lola

Well, we drank champagne and danced all night
Under electric candlelight
She picked me up and sat me on her knee
And said ""Dear boy, won't you come home with me?""
Well, I'm not the world's most passionate guy
But when I looked in her eyes, well I almost fell for my Lola
La-la-la-la Lola
La-la-la-la Lola
Lola
La-la-la-la Lola
La-la-la-la Lola

I pushed her away
I walked to the door
I fell to the floor
I got down on my knees
Then I looked at her and she at me

Well, that's the way that I want it to stay
And I always want it to be that way for my Lola
La-la-la-la Lola
Girls will be boys and boys will be girls
It's a mixed up, muddled up, sup world, except for Lola
La-la-la-la Lola

Well, I left home just a week before
And I'd never ever kissed a woman before
But Lola smiled and took me by the hand
And said ""Dear boy, I'm gonna make you a man""

Well, I'm not the world's most masculine man
But I know what I am and I'm glad I'm a man
And so is Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola

Lola
La-la-la-la Lola
La-la-la-la Lola"
60,Bachman-Turner Overdrive,You Ain't Seen Nothin' Yet,1974,"Exception occurred 
HTTP Error 404: Not Found"
61,The Four Seasons,December 1963 (Oh What a Night),1976,"Oh, what a night
Late December, back in '63
What a very special time for me
As I remember, what a night

Oh, what a night
You know, I didn't even know her name
But I was never gonna be the same
What a lady, what a night

Oh, I
I got a funny feeling when she walked in the room
Hey, my
As I recall, it ended much too soon

Oh, what a night
Hypnotizing, mesmerizing me
She was everything I dreamed she'd be
Sweet surrender, what a night

And I felt a rush like a rolling bolt of thunder
Spinning my head around and taking my body under
Oh, what a night

Oh, I
Got a funny feeling when she walked in the room
Hey, my
As I recall, it ended much too soon

Oh, what a night
Why'd it take so long to see the light?
Seemed so wrong, but now it seems so right
What a lady, what a night

Oh, I felt a rush like a rolling bolt of thunder
Spinning my head around and taking my body under
Oh, what a night (Do do do do do, do do do do)
Oh, what a night (Do do do do do, do do do do)
Oh, what a night (Do do do do do, do do do do)
Oh, what a night (Do do do do do, do do do do)
Oh, what a night (Do do do do do, do do do do)
Oh, what a night (Do do do do do, do do do do)
Oh, what a night (Do do do do do, do do do do)"
62,The Rolling Stones,Brown Sugar,1971,"Gold Coast slave ship bound for cotton fields
Sold in a market down in New Orleans
Scarred old slaver know he's doin' alright
Hear him whip the women just around midnight

Brown sugar, how come you taste so good
Brown sugar, just like a young girl should

Drums beating, cold English blood runs hot
Lady of the house wonderin' where it's gonna stop
House boy knows that he's doin' alright
You should a heard him just around midnight

Brown sugar, how come you taste so good
Brown sugar, just like a young girl should


Brown sugar, how come you taste so good
Brown sugar, just like a black girl should

I bet your mama was a Tent Show queen
And all her boyfriends were sweet sixteen
I'm no school boy but I know what I like
You should have heard me just around midnight

Brown sugar, how come you taste so good
Brown sugar, just like a young girl should


I said yeah, I said yeah, I said yeah, I said oh
Just like a black girl should"
63,The Manhattans,Kiss & Say Goodbye,1976,"{This has got to be the saddest day of my life
I called you here today for a bit of bad news
I won't be able to see you anymore
Because of my obligations and the ties that you have
We've been meeting here everyday
And since this is our last day together
I wanna hold you just one more time
When you turn and walk away, don't look back
I wanna remember you just like this
Let's just kiss and say goodbye}

I had to meet you here today
There's just so many things to say
Please don't stop me 'till I'm through
This is somethin' I hate to do

We've been meeting here so long
I guess what we done, oh was wrong
Please darlin', don't you cry
Let's just kiss and say goodbye

Many months have passed us by
I'm gonna miss you, I can't lie
I've got ties and so do you
I just think this is the thing to do

It's gonna hurt me, I can't lie
Maybe you'll meet, you'll meet another guy
Understand me, oh won't you try, try, try, try, try, try, try?
Let's just kiss an' say goodbye

I'm gonna miss you, I can't lie
Understand me, oh won't you try?
It's gonna hurt me, I can't lie
Take my handkerchief an' wipe your eyes
Maybe you'll find, you'll find another guy
Well let's kiss and say goodbye, pretty baby
Please, don't you cry
Understand me, oh won't you try?
Let's just kiss and say goodbye"
64,Three Dog Night,Joy to the World,1971,"Jeremiah was a bull frog
Was a good friend of mine
I never understood a single word he said
But I helped him drink his wine
And he always had some mighty fine wine

Singin'
Joy to the world
All the boys and girls, now
Joy to the fishes in the deep blue sea
Joy to you and me

If I were the king of the world
Tell you what I'd do
I'd throw away the cars and the bars and the wars
Make sweet love to you

Singin' now
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

You know I love the ladies
Love to have my fun
I'm a high night flier and a rainbow rider
A straight-shootin' son of a gun
I said a straight shootin' son of a gun

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the world
Joy to you and me

Joy to the world
All the boys and girls, now
Joy to the fishes in the deep blue sea
Joy to you and me

Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me"
65,B J Thomas,Raindrops Keep Falling On My Head,1970,"Raindrops keep fallin' on my head
And just like the guy whose feet are too big for his bed
Nothin' seems to fit
Those raindrops are fallin' on my head, they keep fallin'

So I just did me some talkin' to the sun
And I said I didn't like the way he got things done
Sleepin' on the job
Those raindrops are fallin' on my head, they keep fallin'

But there's one thing I know
The blues they send to meet me won't defeat me
It won't be long till happiness steps up to greet me

Raindrops keep fallin' on my head
But that doesn't mean my eyes will soon be turnin' red
Cryin's not for me
'Cause I'm never gonna stop the rain by complainin'
Because I'm free
Nothin's worryin' me

It won't be long till happiness steps up to greet me

Raindrops keep fallin' on my head
But that doesn't mean my eyes will soon be turnin' red
Cryin's not for me
'Cause I'm never gonna stop the rain by complainin'
Because I'm free
Nothin's worryin' me"
66,Neil Young,Heart of Gold,1972,"I want to live
I want to give
I've been a miner
for a heart of gold
It's these expressions
I never give
That keep me searching
for a heart of gold
And I'm getting old
Keeps me searching
for a heart of gold
And I'm getting old

I've been to Hollywood
I've been to Redwood
I've crossed the ocean
for a heart of gold
I've been in my mind
it's such a fine line
That keeps me searching
for a heart of gold
And I'm getting old
Keeps me searching
for a heart of gold

And I'm getting old

Keep me searching
for a heart of gold
You keep me searching
And I'm growing old
Keep me searching
for a heart of gold
I've been a miner
for a heart of gold"
67,Tom Jones,She's a Lady,1971,"Well she's all you'd ever want,
She's the kind I'd like to flaunt and take to dinner.
Well she always knows her place.
She's got style, she's got grace, She's a winner.

She's a Lady. Whoa whoa whoa,
She's a Lady.
Talkin' about that little lady,
and the lady is mine.

Well she's never in the way
Always something nice to say, Oh what a blessing.
I can leave her on her own
Knowing she's okay alone, and there's no messing.

She's a lady.
Whoa, whoa, whoa.
She's a lady.
Talkin' about that little lady,
and the lady is mine.

Well she never asks for very much and I don't refuse her.
Always treat her with respect, I never would abuse her.
What she's got is hard to find, and I don't want to lose her
Help me build a mansion from my little pile of clay.
Hey, hey, hey.
Well she knows what I'm about,
She can take what I dish out, and that's not easy,
Well she knows me through and through,
She knows just what to do, and how to please me.

She's a lady.
Whoa, whoa, whoa.
She's a lady.
Talkin' about that little lady

and the lady is mine.
Yeah yeah yeah She's a Lady
Listen to me baby, She's a Lady
Whoa whoa whoa, She's a Lady
And the Lady is mine
Yeah yeah yeah She's a Lady
Talkin about this little lady
Whoa whoa whoa whoa
Whoa and the lady is mine
Yeah yeah She's a Lady
And the Lady is mine"
68,Creedence Clearwater Revival,Up Around the Bend,1970,"There's a place up ahead and I'm goin'
Just as fast as my feet can fly
Come away, come away if you're goin'
Leave the sinkin' ship behind

Come on the risin' wind
We're goin' up around the bend

Bring a song and a smile for the banjo
Better get while the gettin's good
Hitch a ride to the end of the highway
Where the neons turn to wood

Come on the risin' wind
We're goin' up around the bend

You can ponder perpetual motion
Fix your mind on a crystal day
Always time for good conversation
There's an ear for what you say

Come on the risin' wind
We're goin' up around the bend

Catch a ride to the end of the highway
And we'll meet by the big red tree
There's a place up ahead and I'm goin'
Come along, come along with me

Come on the risin' wind
We're goin' up around the bend

Do do do do
Do do do do
Do do do do
..."
69,Rod Stewart,Tonight's the Night (Gonna Be Alright),1976,"Stay away from my window
Stay away from my back door too
Disconnect the telephone line
Relax baby and draw that blind

Kick off your shoes and sit right down
Loosen off that pretty French gown
Let me pour you a good long drink
Ooh baby don't you hesitate cause

Tonights the night
It's gonna be alright
Cause I love you girl
Ain't nobody gonna stop us now

C'mon angel my hearts on fire
Don't deny your man's desire
You'd be a fool to stop this tide
Spread your wings and let me come inside

Tonights the night
It's gonna be alright
Cause I love you girl
Ain't nobody gonna stop us now

Don't say a word my virgin child
Just let your inhibitions run wild
The secret is about to unfold
Upstairs before the night's too old

Tonights the night
It's gonna be alright
Cause I love you woman
Ain't nobody gonna stop us now"
70,Isaac Hayes,Theme From 'Shaft',1971,"Shaft
Who's the black private dick
That's a sex machine to all the chicks?
(Shaft!)
You're damn right
Who is the man
That would risk his neck for his brother man?
(Shaft!)
Can ya dig it?
Who's the cat that won't cop out
When there's danger all about
(Shaft!)
Right on
You see this cat Shaft is a bad mother
(Shut your mouth)
But I'm talkin' about Shaft
(Then we can dig it)
He's a complicated man
But no one understands him but his woman
(John Shaft)"
71,Roberta Flack,The First Time Ever I Saw Your Face,1972,"The first time ever I saw your face
I thought the sun rose in your eyes
And the moon and the stars were the gifts you gave
To the dark and the endless skies, my love
To the dark and the endless skies

And the first time ever I kissed your mouth
I felt the earth move in my hands
Like the trembling heart of a captive bird
That was there at my command, my love
That was there at my command, my love

And the first time ever I lay with you
I felt your heart so close to mine
And I knew our joy would fill the earth
And last till the end of time, my love
And it will last till the end of time, my love

The first time ever I saw your face, your face
Your face, your face"
72,The Commodores,Three Times a Lady,1978,"Three Times A Lady
The Commodores

Thanks for the times that you've given me
The memories are all in my mind
And now that we've come to the end of our rainbow
There's something i must say out loud

You're once, twice, three times a lady
And I love you...
Yes, you're once, twice, three times a lady
And I love you... I love you...

When we are together the moments I cherish
With every beat of my heart
To touch you, to hold you
To feel you, to need you
There's nothing to keep us apart

You're once, twice, three times a lady
And I love you... I love you..."
73,Tony Orlando & Dawn,Knock Three Times,1971,"Hey girl, what ya doin' down there?
Dancin' alone every night
While I live right above you

I can hear your music playin'
I can feel your body swayin'
One floor below me
You don't even know me, I love you

Oh, my darling, knock three times
On the ceiling if you want me
Twice on the pipe
If the answer is no

Oh, my sweetness
Means you'll meet me in the hallway
Oh, twice on the pipe
Means you ain't gonna show

If you look out your window tonight
Pull in the string with the note
That's attached to my heart

Read how many times I saw you
How in my silence I adored you
And only in my dreams did
That wall between us come apart

Oh, my darling, knock three times
On the ceiling if you want me
Mmm, twice on the pipe
If the answer is no

Oh, my sweetness
Means you'll meet me in the hallway
Whoa, twice on the pipe
Means you ain't gonna show

Oh, I can hear the music playin'
I can feel your body swayin'
One floor below me
You don't even know me, I love you

Oh, my darling, knock three times
On the ceiling if you want me
Oh, twice on the pipe
If the answer is no
  (I love you, I love you, I love you)

Oh, my sweetness
Means you'll meet me in the hallway
Mmm, twice on the pipe
Means you ain't gonna show"
74,Amii Stewart,Knock On Wood,1979,"I don't want to lose you this good thing that I got
'Cause if I do I will surely, surely lose a lot
'Cause your love is better than any love I know

It's like thunder and lightning
The way you love me is frightening
You better knock, knock on wood, baby

I'm not superstitious about ya but I can't take no chance
You got me spinnin', baby, you know I'm in a trance
'Cause your love is better than any love I know

It's like thunder, lightning
The way you love me is frightenin'
You better knock, knock, knock on wood, baby

Think I better knock, knock, knock on wood
Think I better knock, knock, knock on wood
Think I better knock, knock, knock on wood
Think I better knock, knock, knock on wood
Think I better knock

It's no secret about it 'cause with his lovin' touch
He sees to it that I get enough with his touch all over
You know it means so much

It's like thunder and lightnin'
The way you love me is frightenin'
You better knock, knock on wood, baby

Think I better knock, knock, knock on wood
Think I better knock, knock, knock on wood
Think I better knock, knock, knock on wood
Think I better knock, knock, knock on wood"
75,Wings,Silly Love Songs,1976,"You'd think that people would have had enough of silly love songs
I look around me and I see it isn't so
Some people want to fill the world with silly love songs
And what's wrong with that?
I'd like to know
'Cause here I go again
I love you, I love you
I love you, I love you

I can't explain the feeling's plain to me; can't you see?
Ah, she gave me more, she gave it all to me now can't you see?
What's wrong with that?
I need to know
'Cause here I go again
I love you, I love you

Love doesn't come in a minute
Sometimes it doesn't come at all
I only know that when I'm in it
It isn't silly, love isn't silly, love isn't silly at all

How can I tell you about my loved one?
How can I tell you about my loved one?
""I love you"" over Paul's ""How can I tell you about my loved one?""
""I love you"" over Paul's ""How can I tell you about my loved one?""

I love you
I love you
""I can't explain the feeling's plain to me, say can't you see?""
""I love you""
""Ah, he gave me all, he gave it all to me to me, say can't you see?""
""I love you""
""I can't explain the feeling's plain to me, say can't you see?""
""How can I tell you about my loved one?""
""Ah, he gave me all, he gave it all to me to me say can't you see?""
""How can I tell you about my loved one?""
""I can't explain the feeling's plain to me, say can't you see?""
""How can I tell you about my loved one?""
""Ah, he gave me all, he gave it all to me to me say can't you see?""
""How can I tell you about my loved one?""

You'd think that people would have had enough of silly love songs
I look around me and I see it isn't so, oh no
Some people want to fill the world with silly love songs
What's wrong with that?"
76,Carpenters,(They Long to Be) Close to You,1970,"Carpenters
We've Only Just Begun
(They Long To Be) Close To You
Why do birds suddenly apear
Every time you are near?
Just like me, they long to be
Close to you.

Why do stars fall down from the sky
Every time you walk by?
Just like me, they long to be
Close to you.

On the day that you were born
	and the angels got together
And decided to create a dream come true
So they sprinkled moon dust
	in your hair of gold
And starlight in your eyes of blue.

That is why all the girls in town
Follow you all around
Just like me, they long to be
Close to you.

On the day that you were born
	and the angels got together
And decided to create a dream come true
So they sprinkled moon dust
	in your hair of gold
And starlight in your eyes of blue.

That is why all the girls in town
Follow you all around
Just like me, they long to be
Close to you.

Just like me, they long to be
Close to you.

( 1963 )"
77,Frankie Valli,Grease,1978,"I solve my problems and I see the light
We gotta plug and think, we gotta feed it right
There ain't no danger, we can go too far
We start believing now that we can be who we are

Grease is the word

They think our love is just a growing pain
Why don't they understand it's just a crying shame?
Their lips are lying, only real is real
We start to find right now, we got to be what we feel

Grease is the word
Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Grease is the way we are feeling

We take the pressure and we throw away
Conventionality belongs to yesterday
There is a chance that we can make it so far
We start believing now that we can be who we are

Grease is the word
Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Now, Grease is the way we are feeling

This is the life of illusion
Wrapped up in trouble, laced with confusion
What are we doing here?

We take pressure and we throw away
Conventionality belongs to yesterday
There is a chance, we can make it so far
We start believing now that we can be who we are

Grease is the word
Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Now, Grease is the way we are feeling

Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Now, Grease is the way we are feeling

Grease is the word
Is the word
Is the word
Is the word
..."
78,Elton John,Goodbye Yellow Brick Road,1973,"When are you gonna come down?
When are you going to land?
I should have stayed on the farm
I should have listened to my old man

You know you can't hold me forever
I didn't sign up with you
I'm not a present for your friends to open
This boy's too young to be singing the blues

So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
I'm going back to my plough

Back to the howling old owl in the woods
Hunting the horny back toad
Oh, I've finally decided my future lies
Beyond the yellow brick road

What do you think you'll do then?
I bet that'll shoot down your plane
It'll take you a couple of vodka and tonics
To set you on your feet again

Maybe you'll get a replacement
There's plenty like me to be found
Mongrels who ain't got a penny
Sniffing for tidbits like you on the ground

So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
I'm going back to my plough

Back to the howling old owl in the woods
Hunting the horny back toad
Oh I've finally decided my future lies
Beyond the yellow brick road"
79,Patti LaBelle,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),1975,"Exception occurred 
HTTP Error 404: Not Found"
80,Barbra Streisand,The Way We Were,1974,"Memories
Light the corners of my mind
Misty watercolor memories
Of the way we were

Scattered pictures
Of the smiles we left behind
Smiles we gave to one another
For the way we were

Can it be that it was all so simple then
Or has time rewritten every line
If we had the chance to do it all again
Tell me would we, could we

Memories
May be beautiful and yet
What's too painful to remember
We simply choose to forget

So it's the laughter
We will remember
Whenever we remember
The way we were
The way we were"
81,The Sweet,Fox On the Run,1975,"

I don't wanna know your name
'Cause you don't look the same
The way you did before

Okay, you think you got a pretty face
But the rest of you is out of place
You looked all right before

Fox on the run
You scream and everybody comes a running
Take a run and hide yourself away
Foxy on the run, f-foxy
Fox on the run and hide away

You, you talk about just every band
But the names you drop are second hand
I've heard it all before

I don't wanna know your name
'Cause you don't look the same
The way you did before

Fox on the run
You scream and everybody comes a running
Take a run and hide yourself away
Foxy on the run, f-foxy
Fox on the run and hide away

F-foxy, fox on the run
You scream and everybody comes a running
Take a run and hide yourself away
Foxy on the run, f-foxy
Fox on the run and hide away

Fox on the run
Fox on the run
Fox on the run
Fox on the run"
